restaurant_id,category,price
5,Picked for you,7.0
5,Breakfast,7.25
5,Breakfast Sandwich,2.75
5,Pancakes,3.5
5,Plates,7.0
5,Sandwiches and Burgers,2.5
5,Sides,2.75
5,Dessert,2.25
5,Beverages,1.0
19,Picked for you,9.49
19,Main Dishes,7.99
19,Sides,4.99
19,Beverages,1.99
27,Picked for you,13.5
27,The Quesadilla Zones,19.0
27,Pizza Strippers,15.0
27,Pizza-ritto,14.0
27,Specialty Pastas,13.5
27,Specialty Pizza Salad,7.0
27,Specialty Pizza Tacos,8.0
27,Pizza Nachos,11.25
27,Dessert,13.0
27,Snacks,4.0
27,Drinks,0.0
27,T-shirt,0.0
27,Sauces,0.0
35,Picked for you,5.95
35,Hot Coffees,3.15
35,Hot Teas,4.85
35,Hot Drinks,3.65
35,Frappuccino® Blended Beverages,5.45
35,Cold Coffees,4.55
35,Iced Teas,3.45
35,Cold Drinks,5.35
35,Hot Breakfast,5.45
35,Bakery,2.65
35,Lunch,6.85
35,Snacks &amp; Sweets,2.25
35,Oatmeal &amp; Yogurt,4.95
36,Picked for you,1.99
36,Burritos,0.0
36,Bowls,0.0
36,Meal Kits,44.99
36,Tacos,12.99
36,Quesadillas,0.0
36,Nachos,0.0
36,Salad,0.0
36,Stack,0.0
36,Kids,0.0
36,Extras,1.99
36,Famous Queso,1.99
36,Drinks,0.0
53,Picked for you,19.55
53,Appetizers,9.2
53,Salads,9.2
53,Combinations,20.7
53,Main Courses,20.7
53,Sandwiches,11.5
53,Pizzas,18.4
53,Desserts,9.49
63,Picked for you,7.8
63,Mixed Especialidades,10.2
63,Beef Especialidades,16.8
63,Chicken Especialidades,11.4
63,Pork Especialidades,15.0
63,Fajitas,17.4
63,A La Carte,4.2
63,Side Orders,4.2
63,Appetizers,6.0
63,Burritos,10.8
63,Seafood,16.8
63,Enchiladas,12.3
63,Mains,16.2
63,Combinations,10.8
63,Soups Salads,10.2
63,Vegetarian Dinners,10.8
63,Desserts,3.3
63,Children's Plates,5.4
63,Beverages,2.82
70,Picked for you,22.45
70,Popular,17.45
70,Appetizers,4.45
70,Soup,3.45
70,Fried Rice or Lo Mein,9.45
70,Hibachi Grill,12.45
70,Chinese Cusine,12.45
70,Side Order,2.95
72,Picked for you,15.99
72,Ramadhan Special,48.0
72,Appetizers,4.5
72,Soup,5.99
72,Ethiopian Dishes,15.99
72,Mediterranean Dishes,10.99
72,Cajun Appetizer,6.99
72,Cajun Platter,15.99
72,Po-Boys,13.59
72,Cajun Classics Pasta,14.99
72,Cajun Sides,0.0
72,Chefs Special,44.99
72,Beverages,2.99
72,Desserts,4.5
72,Kid's Meals,6.99
72,Vegetarian,15.99
75,Picked for you,7.44
75,Appetizers and Salad ,13.69
75,Burgers and Sandwiches,5.94
75,Side Orders,3.75
75,Pitas,7.44
75,New Special Plates,14.94
75,Entrées,19.94
75,New Specialty Salad Meals,13.69
75,Baked Potatoes,13.69
75,Breakfast Served Anytime,13.69
75,Pita Prontos,6.56
75,Desserts,4.38
75,Beverages,2.5
75,Extras,1.25
76,Picked for you,15.45
76,The Opening Acts,12.95
76,Headliners,17.95
76,Classic Rock,10.95
76,Rock-N-Raw,6.95
76,Backstage Grill,32.45
76,Rockin' Side,6.95
76,Kid Rock Menu,8.45
76,Local Specials,13.65
77,Picked for you,13.15
77,Appetizers,1.5
77,Soups,6.0
77,Fried Rice,10.9
77,Lo Mein,10.9
77,Chow Mein,10.35
77,Chef's Specialties,15.68
77,Chicken,13.15
77,Beef,14.35
77,Pork &amp; Vegetables,13.15
77,Seafood,14.35
77,Sweet &amp; Sour,13.15
77,Egg Foo Young,12.65
77,Family Dinners,31.65
77,Special Combination Plates,12.35
77,Side Orders,2.0
126,Picked for you,12.99
126,Combos,12.99
126,A la Carte,9.99
126,Wings,7.99
126,Kids Menu,8.99
126,Sides,4.99
126,Beverages,2.25
132,Picked for you,14.0
132,Starters,6.5
132,Specialties,14.0
132,Signature Benedicts,16.5
132,Eggs &amp; Omelets,11.5
132,Sweet Spot,11.5
132,Sandwiches,13.5
132,Sides and a la Carte,4.0
132,Beverages,4.0
142,Picked for you,7.99
142,Combos,13.99
142,Appetizers,7.99
142,Salads,5.99
142,Burgers,7.99
142,Wings,11.99
142,"""Baker"" Potatoes",7.99
142,Wraps,8.99
142,Sandwiches,4.99
142,Entrees,18.99
142,Sides,4.99
142,Desserts,2.99
142,Breakfast Sandwiches (Served All Day),6.99
142,Breakfast Burritos (Served All Day),7.99
142,Omelettes (Served All Day),8.99
142,Kids Menu,6.99
142,Drinks,1.99
142,EXTRAS,1.49
142,VEGGIES,4.99
142,MISC,0.99
153,Picked for you,7.49
153,Favorites,7.19
153,Wraps,7.19
153,Sandwiches,7.19
153,Salads,6.99
153,Sides &amp; Snacks,2.49
153,Sliders &amp; Kids Meal,1.99
153,Shakes &amp; Desserts,3.69
153,Beverages,2.39
166,Picked for you,3.19
166,Sandwiches,8.79
166,You Pick Two,0.0
166,Salads,6.79
166,Soups &amp; Mac,6.49
166,Pizza,11.49
166,Bakery,2.99
166,Beverages,4.59
166,Breakfast,2.89
166,Value Duets,6.99
166,Kids,2.19
166,Sides &amp; Spreads,1.09
176,Picked for you,11.99
176,Combos,13.99
176,Appetizers,7.99
176,Salads,5.99
176,Burgers,5.99
176,Wings,11.99
176,"""Baker"" Potatoes",14.99
176,Wraps,8.99
176,Sandwiches,6.99
176,Entrees,18.99
176,Sides,3.99
176,Desserts,2.99
176,Breakfast Sandwiches (Served All Day),6.99
176,Breakfast Burritos (Served All Day),7.99
176,Omelettes (Served All Day),8.99
176,Kids Menu,6.99
176,Drinks,1.99
176,EXTRAS,1.49
176,VEGGIES,4.99
176,MISC,0.99
187,Picked for you,4.69
187,Combos,8.92
187,Feed The Fam Deals,17.63
187,Hamburgers,6.8
187,"Chicken, Nuggets &amp; More",6.57
187,Fresh-Made Salads,7.98
187,Fries &amp; Sides,2.46
187,Beverages,3.04
187,Frosty,2.1
187,Bakery,1.63
187,Wendy's Kids' Meal®,3.51
187,Biggie Deals,2.1
197,Picked for you,13.79
197,Starters,9.59
197,"Soups, Salads, and Potatoes",13.79
197,JNN Classics,17.39
197,Ribs,17.99
197,JNN Sandwiches,9.59
197,Burgers,10.19
197,Trimmings,4.19
197,Desserts,6.59
197,Lil' Piggie,4.79
197,Bulk Protein,19.19
197,Feast In A Flash,0.0
197,Cheese Biscuits,3.59
197,Trimmings For Your Gathering,7.79
197,Beverages,3.59
197,Retail,7.19
198,Picked for you,39.59
198,Family Bucket Meals,28.79
198,World Famous Buckets,31.19
198,World Famous Chicken,7.43
198,Big Box Meals,12.23
198,Tenders &amp; Nuggets,31.19
198,Fill Ups,7.19
198,Bowls,6.35
198,Signature Sandwiches,5.39
198,Sides,3.11
198,A la Carte,2.63
198,Dessert,6.59
198,Beverages,2.75
198,Condiments,0.0
198,Dipping Sauces,0.0
202,Picked for you,7.89
202,BURGERS,10.19
202,SANDWICHES &amp; CHICKEN,10.39
202,ON THE SIDE,0.0
