id,name,score,zip_code,city,state
15189,Taco Bell ,4.7,98273,Mount Vernon,WA
57690,Popeyes ,4.2,78219,San Antonio,TX
1538,El Jaripeo Freedom Rd,4.4,54140,Little Chute,WI
31496,Zaxbys - W Center St Orem,4.3,84057,Orem,UT
23527,Starbucks ,4.9,20814,Bethesda,MD
53563,Asian City Restaurant,4.6,77338,Humble,TX
52250,Papa Johns ,4.3,77063,Houston,TX
56103,DoubleDave's Pizzaworks ,4.8,78256,San Antonio,TX
9921,Jack in the Box ,4.7,98801,Wenatchee,WA
47201,Teriyaki Madness ,4.6,75056,Lewisville,TX
8923,Ivar's Seafood Bar ,4.4,98021,Bothell,WA
62946,Anthony's Eatalian Best Sellers,4.7,75201,Dallas,TX
24505,The Boathouse at Short Pump,4.3,23233,Richmond,VA
5953,Dunkin' ,4.8,60073,Round Lake Beach,IL
16803,Popeyes ,4.3,98665,Vancouver,WA
40787,Chipotle Mexican Grill ,4.7,78701,Austin,TX
41210,Phuket I'm Vegan ,4,78752,Austin,TX
35115,Tacos Betos,4.6,78228,San Antonio,TX
49750,Fatties Philly Cheesesteaks ,4.5,78702,Austin,TX
25213,McDonald's® ,4.8,22033,FAIRFAX,VA
49177,Outback Steakhouse ,4.5,78230,San Antonio,TX
25140,Arby's ,4.3,23294,Richmond,VA
45179,Dunkin' ,4.5,76063,Mansfield,TX
36518,Jason's Deli ,4.6,75104,Cedar Hill,TX
43438,ROYAL ARM RESTAURANTS,4.6,77494,Katy,TX
38295,Super Mega Dilla ,3.2,76107-6574,Fort Worth,TX
22762,Apps All Around ,4.3,22192,Woodbridge,VA
36684,Taco Patron,4.8,77301,Conroe,TX
22932,Subway ,4.6,22630,Front Royal,VA
12505,Tacoma's No1 Fried Rice,4.7,98405,Tacoma,WA
9293,Chutneys ,4.5,98004,Bellevue,WA
61803,Dickey's Barbecue Pit  1801 Ballpark Way,4.5,76006,Arlington,TX
44684,El Layali Lebanese Cuisine,4.8,79932,El Paso,TX
56249,IHOP ,4.4,78257,San Antonio,TX
24635,Panda Express ,4.5,23225,Richmond,VA
3616,Twisted Tenders ,3.4,55802,DULUTH,MN
39269,Newk's Eatery ,4.8,75063,Irving,TX
34998,Sandwich De Paris,4.9,78229,San Antonio,TX
14316,Bruchi's ,4.5,99223,Spokane,WA
